DEBUG flwr 2023-04-09 02:39:33,076 | server.py:179 | evaluate_round 21 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:39:33,076 | server.py:215 | fit_round 22: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:39:38,107 | server.py:229 | fit_round 22 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:39:38,108 | server.py:165 | evaluate_round 22: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:39:48,368 | server.py:179 | evaluate_round 22 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:39:48,369 | server.py:215 | fit_round 23: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:39:53,442 | server.py:229 | fit_round 23 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:39:53,444 | server.py:165 | evaluate_round 23: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:40:03,673 | server.py:179 | evaluate_round 23 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:40:03,674 | server.py:215 | fit_round 24: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:40:08,729 | server.py:229 | fit_round 24 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:40:08,730 | server.py:165 | evaluate_round 24: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:40:18,907 | server.py:179 | evaluate_round 24 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:40:18,907 | server.py:215 | fit_round 25: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:40:23,969 | server.py:229 | fit_round 25 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:40:23,970 | server.py:165 | evaluate_round 25: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:40:34,147 | server.py:179 | evaluate_round 25 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:40:34,147 | server.py:215 | fit_round 26: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:40:39,184 | server.py:229 | fit_round 26 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:40:39,186 | server.py:165 | evaluate_round 26: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:40:49,421 | server.py:179 | evaluate_round 26 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:40:49,421 | server.py:215 | fit_round 27: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:40:54,469 | server.py:229 | fit_round 27 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:40:54,470 | server.py:165 | evaluate_round 27: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:41:04,625 | server.py:179 | evaluate_round 27 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:41:04,625 | server.py:215 | fit_round 28: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:41:09,644 | server.py:229 | fit_round 28 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:41:09,645 | server.py:165 | evaluate_round 28: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:41:19,858 | server.py:179 | evaluate_round 28 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:41:19,858 | server.py:215 | fit_round 29: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:41:24,919 | server.py:229 | fit_round 29 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:41:24,920 | server.py:165 | evaluate_round 29: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:41:35,143 | server.py:179 | evaluate_round 29 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:41:35,143 | server.py:215 | fit_round 30: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:41:40,197 | server.py:229 | fit_round 30 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:41:40,198 | server.py:165 | evaluate_round 30: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:41:50,400 | server.py:179 | evaluate_round 30 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:41:50,401 | server.py:215 | fit_round 31: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:41:55,451 | server.py:229 | fit_round 31 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:41:55,452 | server.py:165 | evaluate_round 31: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:42:05,663 | server.py:179 | evaluate_round 31 received 1 results and 0 failures
evaluate_round 1 received 1 results and 0 timeouts
time: 19.124889833
losses_distributed: [[1.150189757347107]]
