Round,Time [s],Accuracy,Loss,Precision,Recall,F-score
48,2842.00736525,0.972,0.10594020947213133,0.9720339689905719,0.972,0.9719656600158918
49,2901.344802333,0.9722,0.09369951885479645,0.9722694730593323,0.9722,0.9721686700912915
50,2960.879861083,0.9716,0.10176659877224242,0.9716195900149581,0.9716,0.9715901130304586
51,3020.397917791,0.9731,0.09399413689774024,0.9731654706711786,0.9731,0.9730934849560222
52,3079.979724916,0.9715,0.09426665532308459,0.9715352902532856,0.9715,0.9714745012675907
53,3139.54832875,0.9704,0.10229406371118101,0.9705090021626195,0.9704,0.970394121819437
54,3200.232609291,0.9721,0.09537790985095541,0.9721268037617734,0.9721,0.9720962119861973
55,3260.005260208,0.9726,0.09682547171161404,0.9726611347874472,0.9726,0.9725798728268402
56,3319.862806916,0.9714,0.09913041961890846,0.9714423141735077,0.9714,0.9713975012941022
57,3379.596026208,0.9739,0.09213451983127666,0.9739130459791133,0.9739,0.9738679171689142
58,3439.614438583,0.9696,0.10751833746228104,0.9696366325886913,0.9696,0.9695957479603116
59,3498.843354833,0.9694,0.10444129745409253,0.9694243261547204,0.9694,0.9693743944068055
60,3558.685172125,0.9694,0.10270256248301403,0.9694105139468243,0.9694,0.9693814623915054
61,3618.383445416,0.971,0.09969454914151304,0.9710500703204072,0.971,0.9709842699162018
62,3677.960256916,0.9712,0.09533283587608883,0.9712295948701114,0.9712,0.9711843454868833
63,3737.798447375,0.9694,0.10218245313889489,0.9694380356856082,0.9694,0.9693562544651521
64,3797.48045175,0.9726,0.09309612856276704,0.972665124805904,0.9726,0.9725885071523033
65,3856.949584291,0.971,0.10068165865300416,0.9710572736363335,0.971,0.9709735627092301
66,3916.697936625,0.9705,0.09767519413932911,0.9705321810240777,0.9705,0.970490824279246
67,3976.24692275,0.9731,0.0958809403139433,0.9731282318928505,0.9731,0.9730886695542831
68,4036.104311541,0.9733,0.09046030163719952,0.9733523042208906,0.9733,0.973293200102479
69,4095.65416725,0.9706,0.09620717177792935,0.9706398704402309,0.9706,0.9705709395839814
70,4155.167031458,0.9711,0.09743714563812203,0.9711635632241922,0.9711,0.9710689899384455
71,4214.615366375,0.9721,0.09809726825082575,0.9721664399786065,0.9721,0.9720727275133076
72,4274.124372041,0.9719,0.09379101300661347,0.9719247171206856,0.9719,0.9718857652129905
73,4333.951944416,0.9698,0.0991185142072487,0.9698376740771646,0.9698,0.9697818966248795
74,4393.548436375,0.9728,0.09400218411681083,0.9728219603698314,0.9728,0.9727993315009591
75,4453.27411125,0.9702,0.09977817413522906,0.9702721635922422,0.9702,0.9701963549982711
76,4512.821260166,0.9757,0.0824203006533533,0.9757204441506588,0.9757,0.9756787882478688
77,4572.579554375,0.9704,0.10141078799469751,0.970412458853815,0.9704,0.9703838891455715
78,4632.107057708,0.9713,0.09708996923512601,0.971366084997824,0.9713,0.9713079014094137
79,4691.549511916,0.9713,0.1028975547864246,0.9714233575043225,0.9713,0.9712704828581578
80,4751.456041,0.9736,0.09252361775183994,0.9735959563716169,0.9736,0.9735831794453054
81,4811.057826166,0.9737,0.09259124973917945,0.9738099462636759,0.9737,0.9736743000711627
82,4870.648069125,0.9719,0.09876649198585578,0.9719182066877392,0.9719,0.971879944486599
83,4930.26234175,0.9751,0.0885079422238605,0.9751453859914385,0.9751,0.9750870120595835
84,4989.9466075,0.9709,0.09986854408710694,0.9709366583699001,0.9709,0.9708803273410527
85,5049.497776958,0.9713,0.09809772433737865,0.9713336889330257,0.9713,0.9712906726293171
86,5109.082633708,0.975,0.0880782546069376,0.9750491456357944,0.975,0.9749828009828874
87,5168.575049958,0.9758,0.08838140383064554,0.9758288898076606,0.9758,0.975785954904184
88,5228.427092541,0.9739,0.09125000948274653,0.973963833629706,0.9739,0.9738830287042207
89,5288.206036541,0.9718,0.09853167589251616,0.971871375411718,0.9718,0.9717834205003663
90,5347.882064166,0.9731,0.09273060917181701,0.9731129706294745,0.9731,0.9730771994670003
91,5407.795252875,0.9721,0.09616931242553257,0.9721874359893036,0.9721,0.9720786345799244
92,5467.52247975,0.9729,0.09414363398677397,0.9729317773589466,0.9729,0.972895725759249
93,5526.945960541,0.9715,0.09461120334382869,0.9715139422442606,0.9715,0.9714876674231978
94,5586.62644575,0.974,0.09101678991581325,0.9740999279074164,0.974,0.9739840468127049
95,5646.648711125,0.974,0.08967723150143997,0.9740480745225426,0.974,0.9739792768923399
96,5706.758922041,0.972,0.09884905472822869,0.9720432184032292,0.972,0.971976082991349
97,5765.7680825,0.9714,0.09281499566994048,0.971437670320536,0.9714,0.9713713300517808
98,5823.825331833,0.9726,0.09129718113799047,0.9726489507524442,0.9726,0.9725784333930038
99,5881.247447583,0.9714,0.10061229756131113,0.9714464117707865,0.9714,0.971361433308876
100,5939.825998333,0.9736,0.08807546341854113,0.9736885563658289,0.9736,0.9735785036975272
