Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%],ios_time
83,5168.362201,8300,0.9717,0.090857834,0.971791908,0.9717,0.971703066,1,0,100,7878.986255
84,5233.052475,8400,0.9737,0.091503225,0.973732733,0.9737,0.973695111,1,0,100,7982.46433
85,5297.348457,8500,0.9729,0.099141866,0.972971225,0.9729,0.972889691,1,0,100,8087.02017
86,5360.731632,8600,0.9727,0.089413561,0.972746797,0.9727,0.972673402,1,0,100,8190.846873
87,5423.859962,8700,0.9738,0.091592453,0.973828382,0.9738,0.97378531,1,0,100,8295.58993
88,5484.510366,8800,0.9717,0.097225703,0.971753966,0.9717,0.971691348,1,0,100,8398.620895
89,5548.024899,8900,0.9741,0.095248505,0.974148619,0.9741,0.974076207,1,0,100,8501.461043
90,5611.195262,9000,0.9746,0.092097431,0.974687967,0.9746,0.974602033,1,0,100,8606.234981
91,5673.669784,9100,0.9704,0.097613357,0.970490691,0.9704,0.970396079,1,0,100,8711.78259
92,5736.632865,9200,0.9706,0.096285529,0.970757305,0.9706,0.970596143,1,0,100,8815.578097
93,5801.890559,9300,0.9751,0.08677756,0.97513675,0.9751,0.975092345,1,0,100,8920.35961
94,5865.225339,9400,0.9708,0.097068317,0.970868872,0.9708,0.970791479,1,0,100,9024.196427
95,5928.972678,9500,0.9737,0.091670111,0.973706283,0.9737,0.973687244,1,0,100,9127.277327
96,5993.654398,9600,0.9746,0.090345681,0.974642179,0.9746,0.974586554,1,0,100,9231.257615
97,6059.284111,9700,0.9726,0.106492542,0.972636114,0.9726,0.972603198,1,0,100,9336.611174
98,6121.954097,9800,0.9738,0.090626307,0.973816682,0.9738,0.973791416,1,0,100,9441.048642
99,6183.684105,9900,0.971,0.107390195,0.971092786,0.971,0.971010611,1,0,100,9545.069549
100,6246.480143,10000,0.9733,0.090136319,0.97329706,0.9733,0.973287318,1,0,100,9649.039659
