DEBUG flower 2022-12-21 15:11:33,259 | server.py:215 | fit_round 20: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:14:18,823 | server.py:229 | fit_round 20 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:14:18,825 | server.py:165 | evaluate_round 20: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:14:56,662 | server.py:179 | evaluate_round 20 received 1 results and 1 failures
DEBUG flower 2022-12-21 15:14:58,302 | server.py:215 | fit_round 21: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:18:16,500 | server.py:229 | fit_round 21 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:18:16,502 | server.py:165 | evaluate_round 21: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:19:21,380 | server.py:179 | evaluate_round 21 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:19:21,380 | server.py:215 | fit_round 22: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:22:35,528 | server.py:229 | fit_round 22 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:22:35,530 | server.py:165 | evaluate_round 22: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:23:08,104 | server.py:179 | evaluate_round 22 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:23:08,104 | server.py:215 | fit_round 23: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:27:07,024 | server.py:229 | fit_round 23 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:27:07,026 | server.py:165 | evaluate_round 23: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:27:46,230 | server.py:179 | evaluate_round 23 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:27:46,230 | server.py:215 | fit_round 24: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:30:43,968 | server.py:229 | fit_round 24 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:30:43,970 | server.py:165 | evaluate_round 24: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:31:23,194 | server.py:179 | evaluate_round 24 received 1 results and 1 failures
DEBUG flower 2022-12-21 15:31:25,780 | server.py:215 | fit_round 25: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:35:04,378 | server.py:229 | fit_round 25 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:35:04,380 | server.py:165 | evaluate_round 25: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:35:45,096 | server.py:179 | evaluate_round 25 received 1 results and 1 failures
DEBUG flower 2022-12-21 15:35:47,103 | server.py:215 | fit_round 26: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:38:58,426 | server.py:229 | fit_round 26 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:38:58,429 | server.py:165 | evaluate_round 26: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:39:37,689 | server.py:179 | evaluate_round 26 received 1 results and 1 failures
DEBUG flower 2022-12-21 15:39:39,343 | server.py:215 | fit_round 27: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:43:11,465 | server.py:229 | fit_round 27 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:43:11,467 | server.py:165 | evaluate_round 27: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:43:53,228 | server.py:179 | evaluate_round 27 received 1 results and 1 failures
