Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%]
31,20605.198543916,1085,0.5749846704260508,1.0205124258995055,0.5693681194858207,0.5749846704260508,0.5706911700884872,35,0,100.0
32,21291.961623125,1120,0.5790820458456256,1.016916126864297,0.5737898876722097,0.5790820458456256,0.5751676561879724,35,0,100.0
33,21971.658793458,1155,0.582249944531921,1.0061909641538347,0.5771631325883586,0.582249944531921,0.578298340827485,35,0,100.0
34,22651.905542,1190,0.585216904227336,1.0000884430749075,0.5803346660192247,0.585216904227336,0.5811415747129443,35,0,100.0
35,23328.104204875,1225,0.5872219303947737,0.9896112561225892,0.5812079389725406,0.5872219303947737,0.5823231410917097,35,0,100.0
36,23999.553711,1260,0.5905984735375176,0.9815885714122228,0.5859013125706395,0.5905984735375176,0.5871508540719348,35,0,100.0
37,24672.579717416,1295,0.5948515188860142,0.9748846616063799,0.5901681335732535,0.5948515188860142,0.5912539825736549,35,0,100.0
38,25337.543602583,1330,0.5961735763714244,0.9668643695967538,0.5921789678439348,0.5961735763714244,0.5928904184059305,35,0,100.0
39,26009.097515666,1365,0.5981384941980513,0.9656849690846034,0.5928413119748849,0.5981384941980513,0.5943564997780423,35,0,100.0
40,26683.526949875,1400,0.6013326205279181,0.959033567564828,0.5981885638346526,0.6013326205279181,0.5990377335167857,35,0,100.0
41,27354.817717625,1435,0.6048698064928086,0.9533513937677656,0.6010484614594512,0.6048698064928086,0.6014998865403547,35,0,100.0
42,28026.952722333,1470,0.6079678837187752,0.9473251121384757,0.6032169415698861,0.6079678837187752,0.6043177513789314,35,0,100.0
43,28699.560678541,1505,0.6118261784426172,0.9400942325592041,0.6090495160550892,0.6118261784426172,0.6095917469385146,35,0,100.0
44,29375.608060583,1540,0.6167126796620325,0.9350172894341605,0.612816592657864,0.6167126796620325,0.6139529438291715,35,0,100.0
45,30053.181291083,1575,0.6200991268318793,0.9317542808396476,0.6153253162872505,0.6200991268318793,0.6164974934948532,35,0,100.0
46,30682.167245833,1610,0.6215278675274104,0.9298747062683106,0.6169623994613032,0.6215278675274104,0.6178595901586801,35,0,100.0
47,31289.535546791,1645,0.6255785028254934,0.9243485757282802,0.6223154696058248,0.6255785028254934,0.6233730575448976,35,0,100.0
48,31897.41001625,1680,0.6270999230608809,0.9184508766446795,0.6235319625240402,0.6270999230608809,0.6248831023814123,35,0,100.0
49,32503.69669,1715,0.6283908241349907,0.9156617386000497,0.6250054429042692,0.6283908241349907,0.6259463166277643,35,0,100.0
50,33110.417106041,1750,0.6301762820839937,0.9133850472314017,0.6263966360924479,0.6301762820839937,0.6273229818245768,35,0,100.0
51,33720.244177125,1785,0.6311087216614559,0.9103427018438067,0.6274673944830275,0.6311087216614559,0.6286953167704618,35,0,100.0
52,34331.255532583,1820,0.6318103367003794,0.9086911371776036,0.6277798843672215,0.6318103367003794,0.6289983144558338,35,0,100.0
53,34946.435144916,1855,0.6308725344917088,0.9052953600883484,0.6264146230388459,0.6308725344917088,0.6278284116399041,35,0,100.0
54,35555.423878833,1890,0.6339844690408916,0.9028167503220694,0.6306976728188608,0.6339844690408916,0.631479050902048,35,0,100.0
