DEBUG flwr 2023-04-13 04:32:30,113 | server.py:165 | evaluate_round 25: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:35:56,769 | server.py:179 | evaluate_round 25 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:35:56,769 | server.py:215 | fit_round 26: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:36:46,065 | server.py:229 | fit_round 26 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:36:46,100 | server.py:165 | evaluate_round 26: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:40:12,693 | server.py:179 | evaluate_round 26 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:40:12,693 | server.py:215 | fit_round 27: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:41:03,263 | server.py:229 | fit_round 27 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:41:03,297 | server.py:165 | evaluate_round 27: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:44:31,433 | server.py:179 | evaluate_round 27 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:44:31,433 | server.py:215 | fit_round 28: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:45:19,536 | server.py:229 | fit_round 28 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:45:19,571 | server.py:165 | evaluate_round 28: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:48:47,646 | server.py:179 | evaluate_round 28 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:48:47,646 | server.py:215 | fit_round 29: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:49:37,513 | server.py:229 | fit_round 29 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:49:37,547 | server.py:165 | evaluate_round 29: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:53:05,846 | server.py:179 | evaluate_round 29 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:53:05,846 | server.py:215 | fit_round 30: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:53:55,903 | server.py:229 | fit_round 30 received 34 results and 0 failures
