Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%]
18,1439.306600208,540,0.5137513751375138,1.3487650156021118,0.5083717433928595,0.5137513751375138,0.5064792219849119,1,0,100.0
19,1516.06162925,570,0.5269526952695269,1.3276405334472656,0.5230904379929884,0.5269526952695269,0.5189999210522547,1,0,100.0
20,1594.734957125,600,0.5295529552955296,1.3126850128173828,0.5263756313629384,0.5295529552955296,0.5189346842009752,1,0,100.0
21,1671.181159458,630,0.5406540654065407,1.303414225578308,0.5436411824906472,0.5406540654065407,0.5352165370242661,1,0,100.0
22,1747.613361458,660,0.5411541154115411,1.2931406497955322,0.5431638868002986,0.5411541154115411,0.5361375904412751,1,0,100.0
23,1824.472368583,690,0.5471547154715471,1.2650731801986694,0.546077361062775,0.5471547154715471,0.542658709863338,1,0,100.0
24,1903.379762,720,0.5503550355035504,1.2748404741287231,0.5532076146469871,0.5503550355035504,0.5383897943459114,1,0,100.0
25,1984.440133208,750,0.5624562456245624,1.2389503717422485,0.5622423997416526,0.5624562456245624,0.560484738736377,1,0,100.0
26,2062.552149416,780,0.5648564856485648,1.2290325164794922,0.5607298789709138,0.5648564856485648,0.5574454695437914,1,0,100.0
27,2139.906866458,810,0.5710571057105711,1.2202166318893433,0.5692084325270765,0.5710571057105711,0.5666644284891874,1,0,100.0
28,2220.78800075,840,0.5715571557155715,1.2195860147476196,0.5744653724922234,0.5715571557155715,0.568907691572879,1,0,100.0
29,2298.86010075,870,0.5719571957195719,1.2246848344802856,0.5793163523575606,0.5719571957195719,0.564886366706942,1,0,100.0
30,2376.919080125,900,0.5809580958095809,1.1918482780456543,0.5810268747943739,0.5809580958095809,0.5755904007765017,1,0,100.0
31,2455.296997708,930,0.5766576657665766,1.1989009380340576,0.5816572371867411,0.5766576657665766,0.5718100664992255,1,0,100.0
32,2532.88285825,960,0.5849584958495849,1.1801795959472656,0.5860969797314867,0.5849584958495849,0.5784541916553456,1,0,100.0
33,2610.318337083,990,0.5883588358835884,1.1732765436172485,0.5913635124681594,0.5883588358835884,0.5816578646347113,1,0,100.0
34,2687.325417708,1020,0.5881588158815881,1.1716655492782593,0.5882060490015559,0.5881588158815881,0.581596099153117,1,0,100.0
35,2764.363461583,1050,0.5874587458745875,1.1757217645645142,0.5970310982576011,0.5874587458745875,0.5840617925788368,1,0,100.0
36,2843.466864041,1080,0.6017601760176018,1.1481516361236572,0.59813397415513,0.6017601760176018,0.5961946726733274,1,0,100.0
37,2918.439253875,1110,0.602960296029603,1.143986701965332,0.6008700109715974,0.602960296029603,0.5978914788947505,1,0,100.0
38,2996.958135708,1140,0.5893589358935893,1.163999080657959,0.5950198318574911,0.5893589358935893,0.5846772984412747,1,0,100.0
39,3076.406715375,1170,0.592959295929593,1.1587884426116943,0.6050203484118014,0.592959295929593,0.587888940545734,1,0,100.0
40,3159.820775625,1200,0.6071607160716072,1.1257014274597168,0.6063581766585477,0.6071607160716072,0.6036514805099706,1,0,100.0
41,3240.561693708,1230,0.6012601260126013,1.1504924297332764,0.6109673091070584,0.6012601260126013,0.5993230187913315,1,0,100.0
42,3326.917292291,1260,0.613061306130613,1.1159852743148804,0.6152642428226985,0.613061306130613,0.6135965741419726,1,0,100.0
43,3409.161829041,1290,0.6124612461246125,1.1215126514434814,0.6103972238738348,0.6124612461246125,0.607326373041254,1,0,100.0
44,3485.589770125,1320,0.6073607360736074,1.1278592348098755,0.6135274279414812,0.6073607360736074,0.6026626892348376,1,0,100.0
45,3561.213241458,1350,0.6100610061006101,1.1214191913604736,0.6167760178871793,0.6100610061006101,0.6088093748811153,1,0,100.0
46,3640.721342208,1380,0.6060606060606061,1.1338071823120117,0.6168981077166394,0.6060606060606061,0.6046699551505009,1,0,100.0
