DEBUG flower 2022-12-22 17:13:57,129 | server.py:165 | evaluate_round 27: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:14:33,451 | server.py:179 | evaluate_round 27 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:14:33,451 | server.py:215 | fit_round 28: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:17:20,068 | server.py:229 | fit_round 28 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:17:20,070 | server.py:165 | evaluate_round 28: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:17:56,148 | server.py:179 | evaluate_round 28 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:17:56,148 | server.py:215 | fit_round 29: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:21:05,344 | server.py:229 | fit_round 29 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:21:05,346 | server.py:165 | evaluate_round 29: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:21:41,322 | server.py:179 | evaluate_round 29 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:21:41,322 | server.py:215 | fit_round 30: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:24:58,966 | server.py:229 | fit_round 30 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:24:58,968 | server.py:165 | evaluate_round 30: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:25:39,747 | server.py:179 | evaluate_round 30 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:25:39,747 | server.py:215 | fit_round 31: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:29:40,119 | server.py:229 | fit_round 31 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:29:40,121 | server.py:165 | evaluate_round 31: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:30:21,634 | server.py:179 | evaluate_round 31 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:30:21,634 | server.py:215 | fit_round 32: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:33:33,060 | server.py:229 | fit_round 32 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:33:33,063 | server.py:165 | evaluate_round 32: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:34:11,595 | server.py:179 | evaluate_round 32 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:34:11,595 | server.py:215 | fit_round 33: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:37:08,876 | server.py:229 | fit_round 33 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:37:08,879 | server.py:165 | evaluate_round 33: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:37:47,695 | server.py:179 | evaluate_round 33 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:37:47,695 | server.py:215 | fit_round 34: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:40:52,216 | server.py:229 | fit_round 34 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:40:52,218 | server.py:165 | evaluate_round 34: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:41:24,861 | server.py:179 | evaluate_round 34 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:41:24,861 | server.py:215 | fit_round 35: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:44:37,298 | server.py:229 | fit_round 35 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:44:37,300 | server.py:165 | evaluate_round 35: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:45:15,645 | server.py:179 | evaluate_round 35 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:45:15,645 | server.py:215 | fit_round 36: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:50:13,072 | server.py:229 | fit_round 36 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:50:13,074 | server.py:165 | evaluate_round 36: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:51:10,019 | server.py:179 | evaluate_round 36 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:51:10,019 | server.py:215 | fit_round 37: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:56:10,058 | server.py:229 | fit_round 37 received 0 results and 2 failures
